Experiment	SampleName	TSS_EnrichmentScore	TSS_EnrichmentScore_smallFrags
ATACseq02_BGI	M11S2	1.24740591578589	1.76622782687495
ATACseq02_BGI	M11S4	1.27568586546319	1.63939719632635
ATACseq02_BGI	M12S1	1.37564697921517	1.63151829422363
ATACseq02_BGI	M12S2	1.67760554228864	2.42681632033975
ATACseq02_BGI	M12S3	1.82676370053125	2.72447144852848
ATACseq02_BGI	M12S4	1.47215455679564	1.95581011225208
ATACseq02_BGI	M12S5	1.67433976373718	2.3095831785948
ATACseq02_BGI	M12S6	1.56138847300488	2.02462136009018
ATACseq02_BGI	M12S7	1.3362917071792	2.03935720545443
ATACseq02_BGI	M12S8	1.25372516990332	1.79717113995733
ATACseq02_BGI	M12S9	1.22644902386154	1.64763794568537
ATACseq02_BGI	M8S3	1.47062426493336	2.60322797140828
