Experiment	SampleName	TSS_EnrichmentScore	TSS_EnrichmentScore_smallFrags
ATACseq03_BGI	Lib10	1.27589026671595	1.38385681369061
ATACseq03_BGI	Lib11	1.23033008911865	1.34267264357799
ATACseq03_BGI	Lib16	1.28022785418155	1.34236907641706
ATACseq03_BGI	Lib17	1.44728751083499	1.47780888702932
ATACseq03_BGI	Lib18	1.30985330894392	1.4687962755523
ATACseq03_BGI	Lib19	1.30454731105663	1.34901014878684
ATACseq03_BGI	Lib2	1.85119120102852	2.00279146417341
ATACseq03_BGI	Lib23	1.12220408165279	1.13911511203339
ATACseq03_BGI	Lib24	1.25636285639371	1.28377048440251
ATACseq03_BGI	Lib4	1.59636536417715	1.59283934008948
ATACseq03_BGI	Lib5	1.37263406026214	1.41050619521229
ATACseq03_BGI	Lib8	1.31466160541894	1.35274293967409
