Experiment	SampleName	TSS_EnrichmentScore	TSS_EnrichmentScore_smallFrags
ATACseq01_BGI	M2S2	2.17510326395075	2.52800855290999
ATACseq01_BGI	M2S3	1.48349699254275	1.53080765606476
ATACseq01_BGI	M2S4	1.37458147158673	1.36865233169576
ATACseq01_BGI	M3S2	2.40565420599771	3.09706339301633
ATACseq01_BGI	M3S5	2.92829570519103	4.60457627039995
ATACseq01_BGI	M4S1	2.21201607659461	2.45552550379033
ATACseq01_BGI	M4S2	1.72790155635197	1.82393419283398
ATACseq01_BGI	M4S5	1.55932816908909	1.57442458412069
ATACseq01_BGI	M5S1	2.04331339979271	2.50766367082153
ATACseq01_BGI	M5S2	2.4830872934312	2.78672027612209
ATACseq01_BGI	M5S5	1.33098045323471	1.60972734090207
ATACseq01_BGI	M5S6	1.43469359820176	1.8121690296196
